character_name,traits,category
Jessica Barden,"['is_female', 'is_actor']",Acting
Melora Hardin,"['is_female', 'is_actor']",Acting
Golshifteh Farahani,"['is_female', 'is_actor']",Acting
Andrea Riseborough,"['is_female', 'is_actor']",Acting
Elias Koteas,"['is_male', 'is_actor']",Acting
Callum Turner,"['is_male', 'is_actor']",Acting
Jo Bo-ah,"['is_female', 'is_actor']",Acting
Brad Dourif,"['is_male', 'is_actor']",Acting
Renée Zellweger,"['is_female', 'is_actor']",Acting
Charlotte Gainsbourg,"['is_female', 'is_actor']",Acting
Paola Nuñez,"['is_female', 'is_actor']",Acting
Takeru Satoh,"['is_male', 'is_actor']",Acting
Emily Osment,"['is_female', 'is_actor']",Acting
Tang Wei,"['is_female', 'is_actor']",Acting
Ema Horvath,"['is_female', 'is_actor']",Acting
Emma de Caunes,"['is_female', 'is_actor']",Acting
Diana Silvers,"['is_female', 'is_actor']",Acting
Macaulay Culkin,"['is_male', 'is_actor']",Acting
Emily VanCamp,"['is_female', 'is_actor']",Acting
Wade Williams,"['is_male', 'is_actor']",Acting
Eva LaRue,"['is_female', 'is_actor']",Acting
Martha Higareda,"['is_female', 'is_actor']",Acting
Gaite Jansen,"['is_female', 'is_actor']",Acting
Donna D'Errico,"['is_female', 'is_actor']",Acting
Jim Varney,"['is_male', 'is_actor']",Acting
Emmy Rossum,"['is_female', 'is_actor']",Acting
Timothy Dalton,"['is_male', 'is_actor']",Acting
Laura Haddock,"['is_female', 'is_actor']",Acting
Alex Jennings,"['is_male', 'is_actor']",Acting
Meg Donnelly,"['is_female', 'is_actor']",Acting
Catherine Zeta-Jones,"['is_female', 'is_actor']",Acting
Phoebe Waller-Bridge,"['is_female', 'is_actor']",Acting
Ayane Sakura,"['is_female', 'is_actor']",Acting
Laurie Holden,"['is_female', 'is_actor']",Acting
Richard Kind,"['is_male', 'is_actor']",Acting
Sienna Guillory,"['is_female', 'is_actor']",Acting
Maude Apatow,"['is_female', 'is_actor']",Acting
Michelle Joyner,"['is_female', 'is_actor']",Acting
Jean Smart,"['is_female', 'is_actor']",Acting
Rhys Coiro,"['is_male', 'is_actor']",Acting
Claudia Doumit,"['is_female', 'is_actor']",Acting
Maggie Grace,"['is_female', 'is_actor']",Acting
Frank Dillane,"['is_male', 'is_actor']",Acting
Janet Montgomery,"['is_female', 'is_actor']",Acting
Justice Smith,"['is_male', 'is_actor']",Acting
Jessica Biel,"['is_female', 'is_actor']",Acting
Jonathan Brandis,"['is_male', 'is_actor']",Acting
Natalya Rudakova,"['is_female', 'is_actor']",Acting
Jacqueline Bisset,"['is_female', 'is_actor']",Acting
Bill Murray,"['is_male', 'is_actor']",Acting
Joey Wong,"['is_female', 'is_actor']",Acting
Sean Astin,"['is_male', 'is_actor']",Acting
Willa Holland,"['is_female', 'is_actor']",Acting
Lily Tomlin,"['is_female', 'is_actor']",Acting
Lesley-Ann Brandt,"['is_female', 'is_actor']",Acting
Suki Waterhouse,"['is_female', 'is_actor']",Acting
